name,surname,patronymic,company,working_mobile,personal_mobile
Никанор,Бурова,Дмитриевна,Элко Рус (Elko),873906592176,751196422001
Куприян,Герасимов,Викентьевич,171 Меридиан,219112170549,736525024297
Наркис,Некрасова,Адрианович,БСС,154717704280,671076612273
Святополк,Потапова,Арсеньевич,Российская телевизионная и радиовещательная сеть,385954500881,397876947523
Доброслав,Марков,Владиславовна,КДВ Групп,964028627974,812297467686
Феофан,Тимофеева,Трифонович,Лента,371951316396,417408360966
Елисей,Гусева,Трифонович,ФК Пульс,190080532310,329698306817
Зинаида,Калинина,Венедиктович,Русал,506237587728,355315801734
Евграф,Филиппова,Владиславович,Ашинский металлургический завод,563212456514,635141766874
Аркадий,Брагина,Елисеевич,Гугл (Google),032578385079,009543637530
Рюрик,Новикова,Ильясович,КМР и СНГ (KIA),882093830014,305885813692
Кузьма,Бирюкова,Ярославович,Группа Синара,944379116315,247395252253
Владилен,Егоров,Мироновна,Боэс Констракшн (Boes Construction),580507390626,549541857321
Марина,Беляев,Ефимовна,А-Ойл,534182683888,550241813327
Ярополк,Шестакова,Александрович,Лига ставок,240756848083,092270794295
Демид,Фомичева,Вениаминовна,Мессояханефтегаз,571148784757,998688015792
Олимпиада,Осипова,Гаврилович,АвтоВАЗ,910271812981,575506010566
Дорофей,Казаков,Вениаминовна,Вирлпул Рус (Whirlpool),513847843007,100211021762
Аггей,Федотова,Михайловна,КамАЗ,229773020394,013946727077
Феврония,Дьячков,Даниилович,Трансбункер,228743946480,024397552809
Никандр,Авдеев,Робертовна,Юг-Авто,722718862933,210847574659
Евгений,Рогова,Артемьевич,Артис-Агро Экспорт,000430450012,912813405709
Дорофей,Шаров,Васильевна,Уралвтормет,229765333905,780911492147
Остромир,Филиппов,Дмитриевич,Леруа Мерлен Восток (Leroi Merlin),663997797272,551706023294
Вадим,Галкин,Афанасьевна,Краснодарзернопродукт-Экспо,946450840727,625755879516
Эмилия,Колобов,Святославовна,Зерно-трейд,534965939890,244545124985
Савва,Матвеева,Федосьевич,Русэнергосбыт,273709891801,643444756530
Влас,Ларионова,Кузьминична,Мишлен (Michelin),697055190451,273076445333
Галактион,Горбунов,Денисович,Нова,923482813607,095001231141
